No,InstID,Gr No,MeasID,Temp Actl,Set Temp,Month,day,hour,min,OK,NG
1,10043,1,10016,349,350,July,1,7,36,1,0
2,10025,1,10016,349,350,July,1,7,37,1,0
3,10040,1,10016,350,350,July,1,7,38,1,0
4,10039,1,10016,347,350,July,1,7,40,1,0
5,10038,1,10016,348,350,July,1,7,41,1,0
6,10037,1,10016,352,350,July,1,7,42,1,0
7,10060,1,10016,352,350,July,1,7,43,1,0
8,10036,1,10016,349,350,July,1,7,44,1,0
9,10024,1,10016,349,350,July,1,7,46,1,0
10,10023,1,10016,352,350,July,1,7,47,1,0
11,10050,1,10016,350,350,July,1,7,48,1,0
12,10051,1,10016,350,350,July,1,7,49,1,0
13,10047,1,10016,348,350,July,1,7,53,1,0
14,10048,1,10016,341,350,July,1,7,56,0,1
15,10049,1,10016,349,350,July,1,7,57,1,0
16,10046,1,10016,353,350,July,1,7,58,1,0
17,10045,1,10016,353,350,July,1,7,59,1,0
18,10027,1,10016,347,350,July,1,8,35,1,0
19,10048,1,10016,348,350,July,1,8,39,1,0
20,10030,1,10016,354,350,July,1,11,43,1,0
21,10065,9,10016,381,380,July,1,11,47,1,0
22,10025,1,10016,355,350,July,2,7,32,1,0
23,10033,1,10016,351,350,July,2,7,33,1,0
24,10040,1,10016,354,350,July,2,7,35,1,0
25,10039,1,10016,354,350,July,2,7,37,1,0
26,10038,1,10016,349,350,July,2,7,38,1,0
27,10037,1,10016,354,350,July,2,7,39,1,0
28,10036,1,10016,350,350,July,2,7,42,1,0
29,10051,1,10016,350,350,July,2,7,45,1,0
30,10050,1,10016,351,350,July,2,7,51,1,0
31,10049,1,10016,353,350,July,2,7,52,1,0
32,10046,1,10016,352,350,July,2,7,53,1,0
33,10045,1,10016,351,350,July,2,7,54,1,0
34,10025,1,10016,354,350,July,3,7,30,1,0
35,10029,1,10016,355,350,July,3,7,33,1,0
